,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
490,brawlBall,Sneaky Fields,ranked,STU,1202,10,TARA,1123,10,BELLE,915,10,SANDY,1053,10,SPIKE,988,10,BEA,1009,10,False,20210822T012638.000Z_15000050_6290
491,brawlBall,Sneaky Fields,ranked,STU,994,10,SANDY,982,10,JESSIE,924,10,DYNAMIKE,861,7,MORTIS,1048,10,EL PRIMO,821,10,True,20210822T012804.000Z_15000050_5630
492,siege,Bot Drop,ranked,CROW,935,10,BELLE,1080,10,PAM,1065,10,SPIKE,717,10,LOU,794,10,FRANK,762,10,True,20210822T012857.000Z_15000097_5353
493,brawlBall,Sneaky Fields,ranked,SPIKE,994,10,BEA,1014,10,SANDY,1058,10,SPIKE,787,10,TARA,783,10,BELLE,783,10,True,20210822T013028.000Z_15000050_5419
494,brawlBall,Sneaky Fields,ranked,MORTIS,1037,10,STU,868,10,GRIFF,817,10,STU,928,10,MORTIS,814,10,DYNAMIKE,859,7,True,20210822T013107.000Z_15000050_5323
495,brawlBall,Sneaky Fields,ranked,EL PRIMO,990,10,SANDY,1063,10,BEA,1019,10,STU,801,10,COLT,822,10,EMZ,885,10,True,20210822T013434.000Z_15000050_5580
496,siege,Bot Drop,ranked,CROW,941,10,BELLE,1085,10,PAM,1070,10,PENNY,749,10,PIPER,740,10,STU,765,10,True,20210822T013504.000Z_15000097_5350
497,brawlBall,Sneaky Fields,ranked,BEA,1069,10,EMZ,979,10,TARA,870,10,STU,1117,10,BEA,1017,10,BUZZ,1227,10,False,20210822T013658.000Z_15000050_6279
498,brawlBall,Sneaky Fields,ranked,BUZZ,1038,10,JESSIE,1038,10,FRANK,1036,10,STU,1121,10,BEA,1022,10,BUZZ,1230,10,False,20210822T013859.000Z_15000050_6485
499,brawlBall,Sneaky Fields,ranked,SANDY,977,10,DARRYL,502,10,SHELLY,717,10,BEA,1024,10,SANDY,1068,10,EL PRIMO,996,10,False,20210822T014109.000Z_15000050_5284
500,siege,Bot Drop,ranked,CROW,947,10,BELLE,1090,10,PAM,1075,10,COLT,706,10,BELLE,719,10,SANDY,725,10,True,20210822T014226.000Z_15000097_5262
501,brawlBall,Sneaky Fields,ranked,RICO,969,10,ROSA,912,10,JESSIE,899,10,STU,1125,10,BEA,1027,10,BUZZ,1233,10,False,20210822T014310.000Z_15000050_6165
